ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
DWS.DE,ihs,type1,full,2026-07-27,74.44999694824219,70.75000381469727,71.10375383377074,69.33500373840332,91.30000686645508,29.05,24,95.5,active,2025-10-13,2026-03-23
FLS.CO,ihs,type1,full,2026-08-17,562.0,531.25,533.90625,520.625,625.5,17.74,18,86.8,active,2026-03-16,2026-07-13
VWS.CO,rectangle,type1,full,2026-08-10,205.8000030517578,201.50793679448913,202.51547647846155,197.47777805859934,252.30670287614674,33.71,11,83.5,active,2026-02-02,2026-04-13
CRDA.L,triangle_sym,type2,full,2026-08-03,3330.0,3237.7702540155524,3253.95910528563,3173.0148489352414,3657.4724435876665,14.89,18,78.2,active,2026-02-23,2026-06-22
EVO.ST,ihs,type1,time,2026-08-17,828.7999877929688,771.2817882191051,775.1381971602005,755.856152454723,1027.1635520241477,33.18,29,71.7,active,2025-12-08,2026-06-22
AIXA.DE,triangle_sym,pending,pending,,35.29999923706055,59.424933853956446,59.722058523226224,58.236435176877315,94.18199433223899,140.9,49,71.5,active,2025-07-14,2026-06-15
VIV.PA,triangle_sym,pending,pending,,1.5700000524520874,4.237113447796016,4.2582990150349955,4.152371178840096,9.057711286292552,-826.17,39,68.5,active,2024-05-20,2025-02-10
CRDA.L,ihs,type1,time,2026-08-17,3330.0,3293.308223927417,3309.7747650470537,3227.442059448869,4099.138963853024,24.47,19,66.4,active,2026-01-12,2026-05-18
COLR.BR,ihs,type1,time,2026-07-06,39.310001373291016,36.476922255295975,36.65930686657245,35.74738381019005,43.1538452735314,18.3,30,66.1,active,2025-09-22,2026-04-13
RI.PA,triangle_desc,type2,time,2026-07-13,62.31999969482422,62.0910667530286,62.40152208679373,60.84924541796803,65.73272584706092,6.23,19,62.4,active,2026-02-16,2026-06-22
DGE.L,ihs,type1,time,2026-07-27,1666.0,1593.3349098395515,1601.301584388749,1561.4682116427605,1836.8533559842501,15.28,20,61.9,active,2026-01-19,2026-06-01
COLR.BR,rectangle,type1,time,2026-07-13,39.310001373291016,36.94999885559082,37.13474884986877,36.210998878479,42.15999794006348,16.41,11,61.3,active,2026-03-30,2026-06-08
HEIA.AS,rectangle,pending,pending,,71.83999633789062,80.34000015258789,80.74170015335082,78.73320014953613,96.43000030517578,25.04,26,60.2,active,2026-02-09,2026-08-03
ALO.PA,triangle_sym,pending,pending,,15.8149995803833,16.99949634110537,17.084493822810895,16.659506414283264,19.049901464476143,13.72,22,60.0,active,2026-02-09,2026-07-06
VER.VI,ihs,type1,time,2026-08-24,59.400001525878906,59.209089105779476,59.505134551308366,58.02490732366389,64.16817821155895,8.38,18,59.8,active,2026-04-13,2026-08-10
NOKIA.HE,triangle_sym,pending,pending,,8.663999557495117,14.922049548577789,14.996659796320676,14.623608557606232,24.684101245832156,189.19,32,59.5,active,2025-10-27,2026-06-01
VER.VI,ihs,pending,pending,,59.400001525878906,65.708270008205,66.03681135824603,64.3941046080409,76.01266966029792,15.68,30,56.7,active,2024-12-16,2025-07-07
MONC.MI,ihs,pending,pending,,46.150001525878906,57.65323769995752,57.941503888457305,56.50017294595837,69.71761908731061,20.93,24,55.5,active,2025-10-13,2026-03-23
MKS.L,rectangle,pending,pending,,385.9960021972656,411.0428007038515,413.09801470737074,402.8219446897745,506.2056117836796,30.13,18,55.3,active,2025-10-27,2026-02-23
