ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
GFS,triangle_sym,type1,time,2026-06-15,89.66999816894531,85.34190304692433,85.76861256215894,83.63506498598584,126.53906995551498,93.32,35,74.4,active,2025-09-29,2026-05-25
EA,rectangle,pending,pending,,202.97000122070312,204.22000122070312,205.24110122680662,200.13560119628906,211.4300079345703,3.66,28,66.2,active,2025-09-29,2026-04-06
CSCO,triangle_sym,pending,pending,,121.52999877929688,127.93973864592613,128.57943733915573,125.3809438730076,177.50417839832704,63.24,26,62.5,active,2025-12-08,2026-06-01
VRTX,ihs,type1,time,2026-06-08,466.7900085449219,439.59998575846356,441.79798568725585,430.8079860432943,466.92998250325525,6.22,20,61.5,active,2026-01-19,2026-06-01
CRWD,triangle_sym,pending,pending,,675.4400024414062,756.7985447474889,760.5825374712263,741.6625738525391,1104.0725686209544,84.8,19,58.2,active,2026-01-26,2026-06-01
PAYX,ihs,type1,time,2026-05-18,95.93000030517578,91.81055718332735,92.26960996924397,89.9743460396608,99.25622530879953,8.11,12,57.4,active,2026-02-23,2026-05-11
PANW,triangle_sym,pending,pending,,286.3999938964844,302.95001220703125,304.46476226806635,296.8910119628906,452.5750427246094,97.59,22,57.0,active,2026-01-05,2026-06-01
XEL,ihs,pending,pending,,78.80999755859375,84.16083282019417,84.58163698429513,82.47761616379029,96.97379592725115,15.22,21,53.6,active,2025-10-27,2026-03-16
EA,triangle_asc,pending,pending,,202.97000122070312,204.22000122070315,205.24110122680665,200.1356011962891,210.79348474582662,3.33,15,53.0,active,2025-12-29,2026-04-06
ABNB,ihs,pending,pending,,139.19000244140625,147.07498931884766,147.81036426544188,144.1334895324707,183.33998107910156,24.66,19,52.4,active,2025-10-06,2026-02-09
WDAY,rectangle,pending,pending,,113.04000091552734,156.2699966430664,157.0513466262817,153.14459671020506,201.08499145507812,40.21,13,52.2,active,2026-03-09,2026-06-01
BIIB,ihs,pending,pending,,199.7100067138672,229.88251876831055,231.03193136215208,225.28486839294433,299.40503692626953,30.24,17,51.2,active,2025-12-15,2026-04-06
XEL,rectangle,pending,pending,,78.80999755859375,83.73099255059927,84.14964751335225,82.05637269958729,90.6969857115501,9.07,10,50.4,active,2026-02-23,2026-04-27
FAST,rectangle,pending,pending,,46.119998931884766,48.59336524502264,48.836332071247746,47.62149794012218,54.087065508747045,12.75,9,49.7,active,2026-04-06,2026-06-01
ON,triangle_sym,type1,none,2026-06-22,131.5500030517578,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,49.4,active,2025-10-20,2026-06-01
MDLZ,ihs,pending,pending,,59.5099983215332,66.2484767603351,66.57971914413676,64.92350722512839,81.73643602340897,23.38,14,49.3,active,2025-12-08,2026-03-09
TXN,triangle_sym,type1,none,2026-06-22,332.2799987792969,328.343239954248,329.98495615401924,321.77637515516307,461.3383975943126,68.08,26,44.9,active,2025-12-01,2026-05-25
