ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
AVT,triangle_sym,type1,full,2026-08-03,95.70999908447266,91.67511269084599,92.13348825430022,89.84161043702908,116.38574941667821,36.9,33,98.3,active,2025-10-20,2026-06-01
TWLO,triangle_sym,type1,full,2026-08-03,238.1999969482422,229.85966136154616,231.00895966835387,225.26246813431524,339.6271045359721,91.4,23,91.5,active,2025-12-29,2026-06-01
AVY,ihs,type1,full,2026-07-27,178.92999267578125,167.9505752434571,168.79032811967437,164.59156373858795,184.19338857723145,9.67,19,82.5,active,2026-03-16,2026-07-20
SOFI,triangle_desc,type1,time,2026-08-03,18.290000915527344,17.630398048286267,17.718550038527695,17.27779008732054,20.350796249160425,18.25,27,75.8,active,2026-01-05,2026-07-06
CTAS,ihs,type1,full,2026-07-13,199.52000427246094,185.42403011735553,186.35115026794227,181.7155495150084,210.12507359847112,13.32,15,75.7,active,2026-03-23,2026-06-29
KBR,triangle_sym,type2,time,2026-07-20,38.369998931884766,36.34303406365922,36.52474923397751,35.61617338238603,40.47345511191317,12.82,26,74.5,active,2026-01-12,2026-07-06
AFG,rectangle,type1,time,2026-06-22,146.2899932861328,135.4287214766533,136.10586508403654,132.72014704712024,148.53485087248714,10.71,21,74.3,active,2025-12-29,2026-05-18
JHX,ihs,type1,time,2026-08-03,31.040000915527344,29.315882626701804,29.46246203983531,28.72956497416777,42.17176616893095,43.85,28,72.1,active,2025-09-22,2026-03-30
CNH,triangle_sym,pending,pending,,10.4399995803833,11.342778653309447,11.399492546575992,11.115923080243258,12.645310866132515,12.97,52,71.5,active,2025-07-07,2026-06-29
GFS,triangle_sym,pending,pending,,54.58000183105469,91.24774692322,91.7039856578361,89.4227919847556,136.56545728142098,98.67,39,71.5,active,2025-09-29,2026-06-22
LW,triangle_sym,pending,pending,,53.06999969482422,76.56245656026749,76.94526884306882,75.03120742906214,144.05646684175963,744.27,51,71.5,active,2024-01-01,2024-12-16
LSCC,triangle_sym,pending,pending,,130.4600067138672,150.63047656646143,151.38362894929372,147.6178670351322,195.0997072839208,41.89,40,71.5,active,2025-09-22,2026-06-22
MTSI,triangle_sym,pending,pending,,316.44000244140625,394.67854045537587,396.6519331576527,386.78496964626834,552.3521997843058,66.53,52,71.5,active,2025-06-30,2026-06-22
ONTO,triangle_sym,pending,pending,,331.7099914550781,362.44055098526053,364.2527537401868,355.1917399655553,477.3252886252551,46.41,52,71.5,active,2025-07-07,2026-06-29
SAIL,triangle_sym,type1,time,2026-08-03,19.530000686645508,18.092903444843905,18.18336796206812,17.731045375947026,23.403989193376553,41.55,31,71.0,active,2025-12-08,2026-07-06
