ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
CPNG,triangle_sym,type1,full,2026-05-04,21.17778857628904,21.28367751917048,20.75423280476326,24.20129199414825,16.65,31,92.0,active,2025-09-15,2026-04-13
TM,hs,type1,full,2026-04-20,201.0832125292326,202.09368093390214,206.13555455258017,155.2873679713199,23.16,25,91.5,active,2025-10-27,2026-04-13
FTNT,rectangle,type1,time,2026-05-04,87.23999786376953,87.67619785308837,85.49519790649414,100.16999816894531,17.4,25,89.7,active,2025-09-29,2026-03-16
SHOP,triangle_sym,type1,full,2026-05-11,137.30000305175784,137.98650306701663,134.5540029907227,164.64500808715826,24.87,18,83.2,active,2025-12-22,2026-04-20
NEE,rectangle,type1,volume,2026-05-18,97.00522748137672,97.4902536187836,95.06512293174919,104.47545511534133,8.34,10,78.0,active,2026-02-23,2026-04-27
PGR,triangle_sym,type2,time,2026-03-23,213.1033461595613,214.1688628903591,208.84127923637007,223.6395142867,5.2,29,74.2,active,2025-08-18,2026-03-02
GLOB,triangle_sym,type1,time,2026-04-27,53.62363952957699,53.89175772722487,52.55116673898545,64.00727738068719,24.01,21,70.8,active,2025-12-01,2026-04-20
MCHP,ihs,type1,time,2026-04-27,89.35431800212102,89.80108959213162,87.5672316420786,131.14257171588446,46.77,26,70.8,active,2025-10-06,2026-03-30
LOW,hs,type1,time,2026-05-11,223.8068618264983,224.93151942361638,229.4301498120887,158.20305283880384,29.67,26,68.2,active,2025-10-27,2026-04-20
ROP,triangle_sym,type1,time,2026-04-27,367.00735705536556,368.84239384064233,359.66720991425825,372.65389317221565,1.56,19,67.4,active,2025-12-15,2026-04-20
FTNT,ihs,type1,time,2026-05-04,88.93110911051433,89.37576465606689,87.15248692830404,104.31221516927084,17.3,17,67.2,active,2025-11-03,2026-02-23
ALKS,rectangle,type1,time,2026-05-11,35.829999923706055,36.00914992332458,35.11339992523193,44.16499996185303,30.31,15,66.8,active,2025-11-03,2026-02-09
LVS,hs,type1,time,2026-05-11,51.24888401875754,51.50641609925381,52.53654442123889,33.33391755444103,35.28,34,66.3,active,2025-08-25,2026-04-13
EA,rectangle,pending,pending,,204.22000122070312,205.24110122680662,200.13560119628906,211.4300079345703,3.66,28,66.2,active,2025-09-29,2026-04-06
ALKS,triangle_desc,type1,time,2026-05-11,27.36871889233589,27.506250143051147,28.05637514591217,19.672500133514404,28.48,15,66.1,active,2025-11-03,2026-02-09
GLW,triangle_sym,type2,time,2026-04-06,157.17174763336425,157.95760637153106,154.02831268069696,224.00210560604944,73.98,18,66.1,active,2025-10-27,2026-02-23
FTNT,hs,type1,time,2026-05-04,74.39216429138183,74.76599426269532,76.26131414794922,60.93199005126954,18.5,15,65.4,active,2025-12-08,2026-03-16
EXEL,hs,type1,time,2026-05-04,40.292526309490206,40.49500131607056,41.30490134239197,33.750000953674316,16.66,14,64.6,active,2025-11-24,2026-02-23
MTCH,ihs,type1,time,2026-04-13,31.76171969670543,31.920528295188955,31.12648530277132,34.892718588149606,9.86,21,63.0,active,2025-11-03,2026-03-23
FTNT,hs,type1,time,2026-05-04,73.85138545036315,74.22249794006348,75.70694789886474,60.78499221801758,18.1,11,62.7,active,2025-09-29,2025-12-08
AJG,triangle_sym,type1,time,2026-04-27,226.0,227.12999999999997,221.48,235.58341460959738,4.43,15,62.5,active,2026-01-12,2026-04-20
CMG,triangle_sym,pending,pending,,37.62464443116127,37.812767653317074,36.87215154253805,44.52178842363236,22.45,28,62.5,active,2025-10-13,2026-04-20
AAPL,hs,type1,time,2026-05-04,236.9203945073674,238.1109492536356,242.8731682387083,188.13714998195508,20.99,15,61.5,active,2025-10-27,2026-02-02
SPGI,triangle_sym,type2,time,2026-05-11,439.6517962249766,441.8500552061014,430.85876030047706,460.8369272968546,5.06,15,61.4,active,2026-01-12,2026-04-20
AIG,triangle_sym,pending,pending,,79.12696308933181,79.52259790477846,77.54442382754517,85.04241925953315,8.08,19,61.2,active,2025-12-22,2026-04-27
COIN,triangle_sym,pending,pending,,205.42561352588092,206.4527415935103,201.3171012553633,246.93407573689018,25.32,19,61.2,active,2025-12-08,2026-04-13
ALKS,hs,type2,time,2026-05-11,24.89987414598465,25.024999141693115,25.525499124526977,13.599997520446777,45.65,21,61.1,active,2024-12-09,2025-04-28
ORLY,rectangle,pending,pending,,102.11000061035156,102.62055061340331,100.06780059814453,116.2750015258789,16.11,22,60.7,active,2025-12-01,2026-04-27
ALL,rectangle,type2,time,2026-04-13,213.60636606365318,214.67439789397142,209.3342387423801,237.64078891480486,12.68,14,59.9,active,2025-08-18,2025-11-17
LGND,rectangle,type2,time,2026-04-13,211.3800048828125,212.43690490722653,207.15240478515625,244.9900131225586,18.91,10,59.3,active,2025-11-10,2026-01-12
HUM,triangle_sym,pending,pending,,308.4853654759801,310.02779230335994,302.3156581664605,535.597809156289,279.1,20,58.8,active,2024-07-15,2024-11-25
ALNY,triangle_sym,type2,time,2026-04-27,343.3599853515625,345.0767852783203,336.49278564453124,386.28997802734375,14.29,15,58.5,active,2026-01-05,2026-04-13
WELL,rectangle,type2,time,2026-04-27,211.26659542758733,212.32292840472525,207.0412635190356,241.26239734877697,16.55,13,57.4,active,2025-11-24,2026-02-16
MDLZ,rectangle,pending,pending,,62.77831679934188,63.09220838333858,61.52275046335504,74.07965676999538,21.95,21,57.1,active,2025-09-22,2026-02-09
AIRT,rectangle,pending,pending,,23.889999389648438,24.00944938659668,23.412199401855467,29.42999839782715,30.19,16,57.0,active,2025-10-27,2026-02-09
LGND,ihs,type2,time,2026-04-13,207.3599853515625,208.3967852783203,203.21278564453124,238.82997131347656,15.18,12,56.8,active,2025-12-08,2026-02-23
ACAD,ihs,pending,pending,,29.050000695621264,29.19525069909937,28.469000681708838,38.41000085718491,32.22,32,56.7,active,2025-07-07,2026-02-09
BA,ihs,pending,pending,,258.3861612173227,259.6780920234093,253.21843799297625,340.00231816218445,31.59,43,56.7,active,2025-06-09,2026-03-30
ICE,ihs,pending,pending,,174.50941007768452,175.3819571280729,171.0192218761308,206.73424509005554,18.47,45,56.7,active,2025-04-07,2026-02-09
ORLY,ihs,pending,pending,,112.79403566059312,113.35800583889608,110.53815494738126,138.64806887978,22.92,26,56.7,active,2025-05-12,2025-11-03
SO,ihs,pending,pending,,98.31087404593976,98.80242841616945,96.34465656502095,114.15763477517434,16.12,27,56.7,active,2025-09-15,2026-03-16
WM,ihs,pending,pending,,250.7023455273454,251.95585725498208,245.68829861679848,308.80815251964896,23.18,28,56.7,active,2025-09-15,2026-03-23
AAL,hs,pending,pending,,9.964542494553786,10.014615572415865,10.214907883864182,3.52923114483173,64.76,33,56.3,active,2025-09-01,2026-04-13
EA,hs,pending,pending,,193.21819871998838,194.18914444219936,198.07292733104336,183.68196526480526,5.41,28,56.3,active,2025-09-29,2026-04-06
ICE,hs,pending,pending,,140.28128491499726,140.98621599497213,143.80594031487158,94.31789284039448,33.1,45,56.3,active,2025-03-24,2026-01-26
IMRX,triangle_sym,pending,pending,,5.705263137817383,5.7337894535064695,5.591157875061035,6.390526135762533,13.65,16,56.3,active,2026-01-05,2026-04-20
MDLZ,hs,pending,pending,,48.87204020461309,49.117628346344816,50.099980913271715,26.17360474099381,46.71,32,56.3,active,2024-08-05,2025-03-10
PG,hs,pending,pending,,139.61115515572396,140.31271874947132,143.11897312446075,114.62542974178297,18.31,27,56.3,active,2025-10-20,2026-04-20
RCL,hs,pending,pending,,196.74749565045795,197.73617653312357,201.69090006378605,33.26498145209814,83.18,30,56.3,active,2025-07-21,2026-02-09
SNPS,hs,pending,pending,,354.71430560302736,356.4967895507813,363.6267253417969,61.263598632812545,82.82,36,56.3,active,2025-05-12,2026-01-12
TDG,hs,pending,pending,,1129.0188768211094,1134.692338513678,1157.3861852839514,750.0274195459617,33.9,26,56.3,active,2025-05-05,2025-10-27
UPST,hs,pending,pending,,-5.354911230260679,-5.381820331920281,-5.489456738558687,-107.19264151833275,-1891.75,34,56.3,active,2024-12-09,2025-07-28
V,hs,pending,pending,,286.91241571468237,288.354186647922,294.12127038088045,219.56675604410617,23.86,30,56.3,active,2025-10-06,2026-04-27
