ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
ON,triangle_sym,pending,pending,,81.61000061035156,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,68.5,active,2025-10-20,2026-06-01
KKR,triangle_sym,type2,time,2026-07-13,101.43000030517578,98.19440637156754,98.68537840342536,96.23051824413619,108.05682832971058,11.17,28,65.9,active,2025-12-08,2026-06-15
AKAM,triangle_sym,pending,pending,,115.18000030517578,152.74310879642013,153.5068243404022,149.68824662049173,215.765164318786,70.24,27,65.5,active,2025-11-10,2026-05-11
APA,triangle_sym,pending,pending,,37.31999969482422,43.76123694563,43.98004313035815,42.8860122067174,63.326812660817225,80.86,28,65.5,active,2025-09-22,2026-03-30
PWR,triangle_sym,pending,pending,,667.3599853515625,779.8239133482743,783.7230329150157,764.2274350813088,1017.7258814621875,43.9,28,65.5,active,2025-10-27,2026-05-04
BRK-B,ihs,type1,time,2026-06-08,511.5400085449219,484.5535866873605,486.9763546207973,474.8625149536133,505.097163609096,4.24,19,63.9,active,2026-01-26,2026-06-01
CINF,ihs,type1,time,2026-06-08,177.67999267578125,168.07919515384572,168.91959112961493,164.7176112507688,183.59451673730325,9.23,20,63.7,active,2026-01-19,2026-06-01
IVZ,rectangle,type2,time,2026-07-13,29.600000381469727,29.482600953020942,29.630013957786044,28.892948933960522,37.02166641250211,34.36,22,63.4,active,2026-01-19,2026-06-15
MRK,rectangle,type2,time,2026-06-22,130.1999969482422,124.0,124.61999999999999,121.52,138.104374038166,12.83,13,63.2,active,2026-02-23,2026-05-18
KEY,ihs,type1,time,2026-06-08,22.59000015258789,22.15917200612124,22.26996786615184,21.715988565998813,25.77206040617506,16.3,17,62.8,active,2026-01-19,2026-05-11
TFC,triangle_sym,type2,time,2026-07-06,51.84000015258789,51.409341925829374,51.66638863545852,50.381155087312784,54.35312048391411,6.07,20,62.7,active,2026-02-02,2026-06-15
ARES,triangle_sym,pending,pending,,128.08999633789062,142.13602489665303,142.84670502113627,139.29330439871995,177.09490542213658,32.62,28,62.5,active,2025-12-08,2026-06-15
BX,triangle_sym,type2,time,2026-07-13,127.75,125.92774541775347,126.55738414484223,123.4091905093984,143.78649812619983,16.53,23,62.5,active,2026-01-12,2026-06-15
CSCO,triangle_sym,pending,pending,,115.98999786376953,127.49475974903993,128.13223354778512,124.94486455405912,176.61422060455465,62.67,26,62.5,active,2025-12-08,2026-06-01
TXN,triangle_sym,pending,pending,,275.739990234375,326.8322919501678,328.46645340991864,320.29564611116444,458.3165015861522,67.31,26,62.5,active,2025-12-01,2026-05-25
VTR,rectangle,type1,time,2026-06-29,93.51000213623047,88.91272062475159,89.35728422787534,87.13446621225656,98.23546209143635,11.71,9,62.4,active,2026-03-16,2026-05-11
AIG,rectangle,pending,pending,,78.58000183105469,81.14138844249686,81.54709538470934,79.51856067364692,89.61143218863381,11.66,19,61.9,active,2026-03-02,2026-07-06
MPWR,triangle_sym,pending,pending,,1426.030029296875,1689.278691884917,1697.7250853443413,1655.4931180472186,2304.5098468908855,57.28,25,61.9,active,2025-12-08,2026-05-25
SYF,triangle_sym,pending,pending,,75.79000091552734,78.4977158344952,78.89020441366766,76.9277615178053,85.92798117625827,10.46,25,61.9,active,2026-01-05,2026-06-22
VRTX,ihs,type1,time,2026-06-08,477.1000061035156,439.59998575846356,441.79798568725585,430.8079860432943,466.92998250325525,6.22,20,61.5,active,2026-01-19,2026-06-01
XEL,rectangle,pending,pending,,78.19999694824219,83.61198662707743,84.03004656021281,81.93974689453587,91.04397294897907,9.76,18,61.3,active,2026-02-23,2026-06-22
D,rectangle,type2,time,2026-06-15,69.16999816894531,67.91375284514888,68.25332160937461,66.5554777882459,76.06250630064932,13.63,14,60.7,active,2026-02-16,2026-05-18
CASY,triangle_sym,pending,pending,,871.0,900.3248685749002,904.8264929177745,882.3183712034022,1106.216732855832,29.65,25,58.9,active,2025-11-24,2026-05-11
DHI,rectangle,pending,pending,,143.05999755859375,168.65966186096733,169.50296017027216,165.286468623748,204.72304953785346,27.2,19,58.9,active,2026-02-16,2026-06-22
RVTY,rectangle,pending,pending,,112.5199966430664,117.1103184319298,117.69587002408943,114.7681120632912,151.9548546940212,42.36,23,58.4,active,2026-01-19,2026-06-22
TDY,rectangle,pending,pending,,655.5700073242188,687.0,690.435,673.26,784.6950073242188,16.58,18,58.3,active,2026-03-02,2026-06-29
IR,ihs,type2,time,2026-07-20,83.37999725341797,82.66590198424862,83.07923149416986,81.01258394456364,97.26180427367302,17.66,15,58.0,active,2026-03-30,2026-07-06
TDY,triangle_sym,pending,pending,,655.5700073242188,675.0208429484608,678.395947163203,661.5204260894916,732.8745106039528,9.37,18,57.6,active,2026-03-02,2026-06-29
MDLZ,rectangle,pending,pending,,62.310001373291016,62.77831679934188,63.09220838333858,61.52275046335504,74.07965676999538,21.95,21,57.1,active,2025-09-22,2026-02-09
IRM,triangle_sym,pending,pending,,122.31999969482422,134.20095728571766,134.87196207214623,131.5169381400033,165.62309929990465,30.57,17,57.0,active,2026-01-12,2026-05-04
AWK,ihs,pending,pending,,134.1699981689453,155.6986014849638,156.4770944923886,152.58462945526452,197.10419959005867,26.59,28,56.7,active,2024-11-04,2025-05-12
APO,ihs,pending,pending,,125.58999633789062,140.8347547168086,141.5389284903926,138.0180596224724,182.527596716836,29.6,39,56.7,active,2025-10-06,2026-06-29
BDX,ihs,pending,pending,,165.6199951171875,205.81839065776035,206.84748261104912,201.70202284460512,285.54626244779325,38.74,35,56.7,active,2025-09-22,2026-05-18
BA,ihs,pending,pending,,216.13999938964844,258.3861612173227,259.6780920234093,253.21843799297625,340.00231816218445,31.59,43,56.7,active,2025-06-09,2026-03-30
DRI,ihs,pending,pending,,203.5800018310547,220.18008021894855,221.28098062004327,215.77647861456958,275.22913423368675,25.0,36,56.7,active,2025-08-11,2026-04-13
DUK,ihs,pending,pending,,125.43000030517578,136.80122077577943,137.4852268796583,134.06519636026383,161.63190244986313,18.15,38,56.7,active,2025-09-15,2026-06-01
