ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
AWI,ihs,type1,full,2026-07-27,163.97000122070312,154.97386612804704,155.74873545868726,151.8743888054861,159.94578645101066,3.21,17,83.9,active,2026-03-30,2026-07-20
AVY,ihs,type1,full,2026-07-27,172.66000366210938,166.98014779598824,167.81504853496816,163.6405448400685,183.12910122513293,9.67,19,82.5,active,2026-03-16,2026-07-20
AMAT,triangle_sym,pending,pending,,474.3800048828125,658.0679012035766,661.3582407095945,644.9065431795051,902.5485876330467,59.11,51,71.5,active,2025-07-14,2026-06-29
AUR,triangle_sym,pending,pending,,6.320000171661377,8.254698179475028,8.295971670372403,8.089604215885528,10.861824172309134,46.16,30,71.5,active,2025-12-08,2026-06-29
LRCX,triangle_sym,pending,pending,,307.2799987792969,414.24793055355417,416.31917020632187,405.9629719424831,554.6750536073702,51.28,47,71.5,active,2025-08-11,2026-06-29
LW,triangle_sym,pending,pending,,45.040000915527344,76.56245161768737,76.94526387577581,75.03120258533363,144.0564599966977,744.27,51,71.5,active,2024-01-01,2024-12-16
ONTO,triangle_sym,pending,pending,,282.30999755859375,369.49693671461523,371.3444213981883,362.10699798032294,488.91544314674445,47.75,47,71.5,active,2025-08-11,2026-06-29
ONTO,triangle_sym,pending,pending,,282.30999755859375,388.6712232518557,390.6145793681149,380.89779878681856,531.5147598047905,58.11,46,71.5,active,2025-10-06,2026-08-17
ARES,triangle_sym,pending,pending,,121.4800033569336,141.82051983665394,142.5296224358372,138.98410943992087,174.3912549687726,29.81,36,68.5,active,2025-12-08,2026-08-10
COHR,triangle_sym,pending,pending,,300.6000061035156,415.99246865672717,418.07243100001074,407.6726192835926,579.0127397029496,64.44,43,68.5,active,2025-08-11,2026-06-01
COHR,triangle_sym,pending,pending,,300.6000061035156,437.32721096467776,439.5138470195011,428.5806667453842,645.1286586377764,90.54,35,68.5,active,2025-12-08,2026-08-03
MTSI,triangle_sym,pending,pending,,275.8399963378906,408.1810008239745,410.22190582809435,400.017380807495,567.1456306318801,63.79,43,68.5,active,2025-09-01,2026-06-22
ON,triangle_sym,pending,pending,,74.0999984741211,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,68.5,active,2025-10-20,2026-06-01
TW,ihs,type1,time,2026-08-03,100.2300033569336,97.01649173124473,97.50157418990094,95.07616189661984,102.73182227509581,5.89,26,68.0,active,2026-02-02,2026-07-27
PATH,triangle_sym,pending,pending,,13.039999961853027,18.116016004707745,18.20659608473128,17.75369568461359,25.741381981937998,72.69,25,67.9,active,2026-03-16,2026-08-31
EMR,triangle_sym,type2,time,2026-07-27,154.58999633789062,149.22371387072673,149.96983244008035,146.2392395933122,166.89818977206434,13.44,19,65.5,active,2026-02-09,2026-06-15
LSCC,triangle_sym,pending,pending,,121.66000366210938,156.79212953280847,157.5760901804725,153.6562869421523,216.93426516913257,62.23,30,65.5,active,2025-12-01,2026-06-22
CGNX,triangle_sym,pending,pending,,58.189998626708984,73.57525999859052,73.94313629858347,72.10375479861871,98.44214147798206,51.05,22,63.0,active,2025-12-08,2026-05-04
ARW,triangle_sym,pending,pending,,226.82000732421875,236.91054580918512,238.095098538231,232.17233489300142,307.0161065719835,42.03,29,62.5,active,2025-12-08,2026-06-22
LFUS,triangle_sym,pending,pending,,422.42999267578125,501.3862211890864,503.8931522950318,491.35849676530466,669.3882155183434,50.39,26,62.5,active,2025-12-08,2026-06-01
MRVL,triangle_sym,pending,pending,,260.8999938964844,324.65874644777125,326.2820401800101,318.1655715188158,557.0611884181689,251.91,29,62.5,active,2025-12-01,2026-06-15
PAYC,triangle_sym,pending,pending,,221.67999267578125,232.71420631230228,233.87777734386376,228.05992218605624,332.75421148363733,75.4,26,62.5,active,2026-03-09,2026-08-31
SNX,triangle_sym,pending,pending,,287.8900146484375,290.3006352166517,291.75213839273493,284.49462251231864,427.94407822073225,90.17,29,62.5,active,2025-12-08,2026-06-22
TXN,triangle_sym,pending,pending,,272.6199951171875,326.8322919501676,328.4664534099184,320.2956461111642,458.31650158615173,67.31,26,62.5,active,2025-12-01,2026-05-25
PATH,rectangle,type2,time,2026-08-03,13.039999961853027,12.980000019073486,13.044900019168852,12.720400018692017,16.72000026702881,40.48,12,62.0,active,2026-03-16,2026-06-01
MPWR,triangle_sym,pending,pending,,1355.469970703125,1689.278702559659,1697.725096072457,1655.4931285084658,2304.509868240369,57.28,25,61.9,active,2025-12-08,2026-05-25
HRB,triangle_sym,pending,pending,,42.540000915527344,56.86703606257842,57.15137124289131,55.72969534132685,78.13067243045482,59.72,19,61.2,active,2026-04-06,2026-08-10
SGI,triangle_sym,pending,pending,,62.869998931884766,71.30913374745731,71.66567941619459,69.88295107250816,80.84573343007897,15.44,21,59.4,active,2026-04-13,2026-08-31
DHI,rectangle,pending,pending,,140.1699981689453,168.1585266113358,168.99931924439244,164.79535607910907,204.11476239125352,27.2,19,58.9,active,2026-02-16,2026-06-22
