ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
DWS.DE,ihs,type1,full,2026-07-27,73.5999984741211,70.75000381469727,71.10375383377074,69.33500373840332,91.30000686645508,29.05,24,95.5,active,2025-10-13,2026-03-23
VWS.CO,rectangle,type1,full,2026-08-10,213.3000030517578,201.50793679448913,202.51547647846155,197.47777805859934,252.30670287614674,33.71,11,83.5,active,2026-02-02,2026-04-13
CRDA.L,triangle_sym,type2,full,2026-08-03,3338.0,3238.1819527060425,3254.3728624695723,3173.4183136519214,3658.295840968646,14.91,18,78.2,active,2026-02-23,2026-06-22
AIXA.DE,triangle_sym,pending,pending,,37.90999984741211,59.42493385395643,59.72205852322621,58.2364351768773,94.18199433223896,140.9,49,71.5,active,2025-07-14,2026-06-15
VIV.PA,triangle_sym,pending,pending,,1.6579999923706055,4.237113447796016,4.2582990150349955,4.152371178840096,9.057711286292548,-826.17,39,68.5,active,2024-05-20,2025-02-10
COLR.BR,ihs,type1,time,2026-07-06,38.52000045776367,36.476922255295975,36.65930686657245,35.74738381019005,43.1538452735314,18.3,30,66.1,active,2025-09-22,2026-04-13
DGE.L,ihs,type1,time,2026-07-27,1719.5,1593.3349098395515,1601.301584388749,1561.4682116427605,1836.8533559842501,15.28,20,61.9,active,2026-01-19,2026-06-01
COLR.BR,rectangle,type1,time,2026-07-13,38.52000045776367,36.94999885559082,37.13474884986877,36.210998878479,42.15999794006348,16.41,11,61.3,active,2026-03-30,2026-06-08
SAMPO.HE,rectangle,type1,time,2026-06-29,9.654000282287598,9.294481305580906,9.34095371210881,9.108591679469287,9.973798785110047,7.89,11,61.1,active,2026-03-16,2026-05-25
ALO.PA,triangle_sym,pending,pending,,15.890000343322754,16.999496341105385,17.08449382281091,16.65950641428328,19.04990146447617,13.72,22,60.0,active,2026-02-09,2026-07-06
NOKIA.HE,triangle_sym,pending,pending,,8.968000411987305,14.922049548577789,14.996659796320676,14.623608557606232,24.684101245832156,189.19,32,59.5,active,2025-10-27,2026-06-01
HM-B.ST,ihs,type1,time,2026-07-27,182.10000610351562,172.40117545674147,173.26318133402515,168.95315194760664,188.45234480996731,9.31,16,59.0,active,2026-03-23,2026-07-06
SAN.PA,rectangle,pending,pending,,77.2300033569336,78.55783689726971,78.95062608175606,76.98668015932431,87.22808380532135,12.41,17,57.7,active,2026-02-09,2026-06-01
VER.VI,ihs,pending,pending,,58.0,65.708270008205,66.03681135824603,64.3941046080409,76.01266966029792,15.68,30,56.7,active,2024-12-16,2025-07-07
MONC.MI,ihs,pending,pending,,46.869998931884766,57.65323769995752,57.941503888457305,56.50017294595837,69.71761908731061,20.93,24,55.5,active,2025-10-13,2026-03-23
MKS.L,rectangle,pending,pending,,376.70001220703125,411.0428007038515,413.09801470737074,402.8219446897745,506.2056117836796,30.13,18,55.3,active,2025-10-27,2026-02-23
SRT.DE,rectangle,pending,pending,,198.8000030517578,199.8000030517578,200.79900306701657,195.80400299072267,235.30001068115234,21.61,13,55.2,active,2026-04-20,2026-07-13
MKS.L,triangle_asc,pending,pending,,376.70001220703125,410.29998779296875,412.35148773193356,402.09398803710934,502.10997772216797,28.83,18,54.9,active,2025-10-27,2026-02-23
