ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
ATKR,ihs,type2,full,2026-05-18,80.54939210470377,80.95213906522729,78.9384042626097,112.4108539630374,39.56,24,78.9,active,2025-03-03,2025-08-11
CAMT,triangle_sym,pending,pending,,206.20487573875982,207.2359001174536,202.08077822398462,260.8037294891162,36.01,42,71.5,active,2025-07-28,2026-05-11
CHCO,rectangle,pending,pending,,128.56796334703773,129.2108031637729,125.99660408009697,141.45557235555225,11.14,29,69.2,active,2025-07-21,2026-02-02
TREX,triangle_sym,pending,pending,,43.217167176107424,43.43325301198796,42.35282383258527,49.91907054381384,18.35,30,62.5,active,2025-10-13,2026-05-04
CLBT,ihs,type1,time,2026-05-25,13.842777887980143,13.911991777420042,13.56592233022054,16.665555318196613,20.39,12,59.2,active,2026-02-23,2026-05-11
CHCO,rectangle,pending,pending,,128.14851710474835,128.78925969027208,125.58554676265338,141.68448112570746,11.81,19,58.9,active,2025-12-15,2026-04-20
GBCI,ihs,pending,pending,,54.697796060065045,54.971285040365366,53.603840138863745,70.08399345747763,28.13,33,56.7,active,2025-07-28,2026-03-09
CUBE,ihs,pending,pending,,42.03403164881412,42.24420180705819,41.19335101583784,51.646142583710386,22.87,25,56.1,active,2025-02-24,2025-08-11
CHCO,ihs,pending,pending,,129.10494211241237,129.75046682297443,126.52284327016413,145.77328668396228,12.91,20,53.0,active,2025-12-29,2026-05-11
STAG,ihs,pending,pending,,40.09995736039601,40.30045714719799,39.29795821318809,44.97275264216826,12.15,19,52.4,active,2025-12-29,2026-05-04
CUBE,ihs,pending,pending,,42.60620308756204,42.81923410299984,41.754079025810796,51.1382726927295,20.03,19,52.4,active,2025-11-17,2026-03-23
INMD,ihs,pending,pending,,14.291000175476075,14.362455176353453,14.005180171966552,15.862000083923341,10.99,16,50.5,active,2026-01-19,2026-05-04
