ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
HR,ihs,type1,full,2026-05-04,20.15999984741211,19.379777534626093,19.47667642229922,18.99218198393357,22.852775629512355,17.92,15,89.7,active,2025-12-22,2026-03-30
MTSI,triangle_sym,type1,time,2026-06-08,396.260009765625,366.7252545214175,368.55888079402456,359.39074943098916,507.71386023035666,62.46,48,86.4,active,2025-06-30,2026-05-25
HRB,triangle_sym,type1,full,2026-05-04,34.040000915527344,33.04628253146092,33.21151394411822,32.3853568808317,36.66643786145423,12.3,14,82.0,active,2026-01-05,2026-04-06
AVT,triangle_sym,type1,time,2026-06-15,92.44999694824219,91.39211139080079,91.84907194775478,89.56426916298477,115.81974944581013,36.48,33,81.2,active,2025-10-20,2026-06-01
TREX,triangle_sym,type1,time,2026-06-08,46.400001525878906,43.21716717610741,43.433253011987944,42.35282383258526,49.91907054381381,18.35,30,78.5,active,2025-10-13,2026-05-04
KEYS,triangle_sym,type1,time,2026-06-15,373.3399963378906,362.7671474624059,364.5809831997179,355.51180451315776,540.4208719860562,95.97,40,78.4,active,2025-08-11,2026-05-11
TLN,ihs,type1,full,2026-06-15,438.1199951171875,420.53599243164064,422.6386723937988,412.1252725830078,539.62197265625,28.32,16,75.9,active,2026-02-02,2026-05-18
GFS,triangle_sym,type1,time,2026-06-15,89.66999816894531,85.34190304692433,85.76861256215894,83.63506498598584,126.53906995551498,93.32,35,74.4,active,2025-09-29,2026-05-25
BWA,triangle_sym,type1,time,2026-05-25,72.33999633789062,68.73815266473366,69.08184342805733,67.36338961143899,96.57575009004016,68.06,19,73.2,active,2025-10-06,2026-02-09
AKAM,triangle_sym,pending,pending,,120.73999786376953,149.6980435244211,150.4465337420432,146.7040826539327,207.51030343019312,62.92,36,71.5,active,2025-09-08,2026-05-11
AU,triangle_sym,pending,pending,,86.2300033569336,126.09240081625427,126.72286282033552,123.57055279992917,169.329328465832,52.18,36,71.5,active,2025-08-04,2026-04-06
CNH,triangle_sym,pending,pending,,10.380000114440918,11.48315950959032,11.54057530713827,11.253496319398515,13.10994663888894,16.5,48,71.5,active,2025-07-07,2026-06-01
FTAI,triangle_sym,pending,pending,,272.04998779296875,319.3833674025291,320.9802842395417,312.9957000544785,459.2977897942735,77.96,36,71.5,active,2025-06-23,2026-02-23
DAR,triangle_sym,pending,pending,,53.220001220703125,65.70674886703492,66.03528261137008,64.39261388969422,88.16950187683108,51.94,37,68.5,active,2025-08-25,2026-05-04
LFUS,triangle_sym,pending,pending,,489.1000061035156,493.2866917439285,495.75312520264805,483.4209579090499,654.7377842768394,48.65,32,68.5,active,2025-10-27,2026-06-01
SCCO,triangle_sym,pending,pending,,189.91000366210938,226.0290833915081,227.1592288084656,221.50850172367794,295.17363120217647,44.07,37,68.5,active,2025-08-04,2026-04-13
SCCO,triangle_sym,pending,pending,,189.91000366210938,220.22134551562658,221.32245224320468,215.81691860531404,296.08613556454577,52.55,34,68.5,active,2025-07-07,2026-02-23
ROIV,triangle_sym,type1,time,2026-06-15,31.25,30.23327485963246,30.38444123393062,29.62860936243981,39.23780092089456,42.42,18,66.9,active,2025-11-10,2026-03-09
AMP,ihs,type1,time,2026-06-15,471.4100036621094,459.7564453229096,462.0552275495241,450.5613164164514,498.6798048855992,8.47,29,66.6,active,2025-11-17,2026-06-01
EMR,ihs,type1,time,2026-06-15,150.2100067138672,146.37048472191304,147.1023371455226,143.44307502747478,170.5946224625227,16.55,27,66.6,active,2025-11-17,2026-05-18
D,rectangle,type1,time,2026-06-15,68.04000091552734,67.91375284514888,68.25332160937461,66.5554777882459,76.06250630064932,13.63,14,66.2,active,2026-02-16,2026-05-18
EA,rectangle,pending,pending,,202.97000122070312,204.22000122070312,205.24110122680662,200.13560119628906,211.4300079345703,3.66,28,66.2,active,2025-09-29,2026-04-06
DOW,triangle_sym,pending,pending,,30.790000915527344,40.06244487188155,40.262757096240954,39.26119597444392,59.09307976818458,90.49,29,65.5,active,2025-09-15,2026-03-30
IRDM,triangle_sym,pending,pending,,43.29999923706055,51.914635966522596,52.1742091463552,50.876343247192146,81.70722523996858,134.67,35,65.5,active,2025-10-06,2026-06-01
PWR,triangle_sym,pending,pending,,740.1400146484375,779.8239133482746,783.7230329150159,764.2274350813091,1017.725881462188,43.9,28,65.5,active,2025-10-27,2026-05-04
TWLO,triangle_sym,pending,pending,,183.63999938964844,226.40092544114657,227.53293006835227,221.87290693232364,332.7096326951729,88.52,32,65.5,active,2025-10-27,2026-06-01
SAIC,ihs,type1,time,2026-05-18,100.5999984741211,96.82033751343317,97.30443920100033,94.88393076316451,112.87636117946978,16.58,25,65.1,active,2025-11-24,2026-05-11
KEY,ihs,type1,time,2026-06-08,22.829999923706055,21.989528802687254,22.099476446700688,21.549738226633508,25.43277399930709,15.66,20,64.9,active,2026-01-19,2026-06-01
GNTX,ihs,type1,time,2026-06-08,25.700000762939453,24.76637048083349,24.890202333237657,24.27104307121682,29.167798402352577,17.77,17,64.1,active,2026-01-26,2026-05-18
MAN,ihs,type1,time,2026-06-01,31.329999923706055,31.10011778438613,31.255618373308057,30.478115428698406,37.62273009489039,20.97,26,63.8,active,2025-11-17,2026-05-11
ZION,ihs,type1,time,2026-06-08,67.12000274658203,64.23116522052034,64.55232104662294,62.94654191610993,76.15996523494536,18.57,16,63.8,active,2026-01-26,2026-05-11
CINF,ihs,type1,time,2026-06-08,172.4600067138672,169.0003478961804,169.84534963566128,165.6203409382568,185.50085329620222,9.76,20,63.7,active,2026-01-19,2026-06-01
ORI,rectangle,pending,pending,,39.08000183105469,42.9213248229767,43.13593144709158,42.062898326517164,49.06615534241263,16.71,22,63.7,active,2025-11-24,2026-04-20
APO,ihs,type1,time,2026-06-08,135.2100067138672,133.33664783858137,134.00333107777428,130.66991488180975,167.53138296038156,25.65,35,63.4,active,2025-10-06,2026-06-01
AFG,rectangle,pending,pending,,134.32000732421875,136.2783497481264,136.95974149686703,133.55278275316388,149.46670315836218,10.71,21,63.1,active,2025-12-29,2026-05-18
BWA,triangle_sym,pending,pending,,72.33999633789062,81.34337073108101,81.7500875847364,79.71650331645938,105.29246517530018,41.73,30,62.5,active,2025-11-10,2026-06-01
CSCO,triangle_sym,pending,pending,,121.52999877929688,127.93973864592613,128.57943733915573,125.3809438730076,177.50417839832704,63.24,26,62.5,active,2025-12-08,2026-06-01
COKE,triangle_sym,pending,pending,,178.89999389648438,217.68175932151524,218.7701681181228,213.32812413508495,272.7377485978355,33.85,28,62.5,active,2025-09-08,2026-03-16
RHI,ihs,type1,time,2026-05-25,29.110000610351562,28.495102494569583,28.63757800704243,27.92520044467819,35.70059637964132,25.29,28,62.4,active,2025-11-03,2026-05-11
OMF,ihs,type1,time,2026-06-15,58.22999954223633,57.32581607286098,57.61244515322528,56.17929975140376,69.72862938504716,21.64,32,62.2,active,2025-10-06,2026-05-11
MPWR,triangle_sym,pending,pending,,1537.8800048828125,1691.8562113565577,1700.3154924133403,1658.0190871294265,2306.3460537378232,57.04,25,61.9,active,2025-12-08,2026-05-25
BC,triangle_sym,pending,pending,,81.5199966430664,85.08615217739327,85.51158293828023,83.3844291338454,97.50993002420961,17.1,20,61.8,active,2026-01-12,2026-05-25
CBSH,ihs,type1,time,2026-06-01,55.08000183105469,52.40513987797539,52.66716557736526,51.35703708041588,58.06664893710096,10.8,17,61.8,active,2026-01-26,2026-05-18
VRTX,ihs,type1,time,2026-06-08,466.7900085449219,439.59998575846356,441.79798568725585,430.8079860432943,466.92998250325525,6.22,20,61.5,active,2026-01-19,2026-06-01
JPM,ihs,type1,time,2026-06-08,331.4800109863281,318.4407624267084,320.0329662388419,312.0719471781742,359.2025972926798,12.8,18,61.4,active,2026-01-19,2026-05-18
