ticker,pattern_type,breakout_type,confirmed,breakout_date,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
AMT,ihs,type1,time,2026-05-18,182.01967708984026,182.92977547528943,178.37928354804345,200.59244577380372,10.2,15,62.4,active,2026-02-02,2026-05-11
MDLZ,rectangle,pending,pending,,62.77831679934188,63.09220838333858,61.52275046335504,74.07965676999538,21.95,21,57.1,active,2025-09-22,2026-02-09
BA,ihs,pending,pending,,258.3861612173227,259.6780920234093,253.21843799297625,340.00231816218445,31.59,43,56.7,active,2025-06-09,2026-03-30
SO,ihs,pending,pending,,98.31087404593976,98.80242841616945,96.34465656502095,114.15763477517434,16.12,27,56.7,active,2025-09-15,2026-03-16
AIG,ihs,pending,pending,,86.74037174260991,87.17407360132295,85.00556430775771,106.08858902354865,22.31,23,54.9,active,2024-11-04,2025-04-07
AMT,ihs,pending,pending,,225.04480920592098,226.17003325195057,220.54391302180255,285.07736583706884,26.68,22,54.2,active,2024-11-11,2025-04-07
MOH,triangle_sym,pending,pending,,200.5500030517578,201.55275306701657,196.53900299072265,262.6571524483817,44.86,15,52.7,active,2026-01-26,2026-05-04
ABNB,ihs,pending,pending,,147.07498931884766,147.81036426544188,144.1334895324707,183.33998107910156,24.66,19,52.4,active,2025-10-06,2026-02-09
PG,ihs,pending,pending,,177.8189579753468,178.7080527652235,174.26257881583984,220.00942786705167,23.73,18,51.8,active,2025-12-08,2026-04-06
KMB,ihs,pending,pending,,99.32714817650067,99.82378391738317,97.34060521297066,106.23429818405603,6.95,18,51.8,active,2026-01-05,2026-05-04
META,ihs,pending,pending,,672.66782275815,676.0311618719406,659.214466302987,825.075635750675,22.66,17,51.2,active,2026-01-19,2026-05-11
TFC,ihs,pending,pending,,50.98324661664917,51.23816284973241,49.96358168431618,59.28739025767608,16.29,17,51.2,active,2026-01-19,2026-05-11
KEY,ihs,pending,pending,,22.15917200612124,22.26996786615184,21.715988565998813,25.77206040617506,16.3,17,51.2,active,2026-01-19,2026-05-11
AIG,ihs,pending,pending,,80.01403955708305,80.41410975486846,78.4137587659414,89.1958845987851,11.48,17,51.2,active,2025-11-24,2026-03-16
BAC,ihs,pending,pending,,54.939877359914185,55.21457674671375,53.8410798127159,63.759755787943604,16.05,16,50.5,active,2026-01-26,2026-05-11
AFL,ihs,pending,pending,,129.14405115319374,129.7897714089597,126.56117013012987,153.0748259026551,18.53,16,50.5,active,2025-12-08,2026-03-23
ALL,ihs,pending,pending,,218.70587104334385,219.79940039856055,214.33175362247698,247.24398014287152,13.05,16,50.5,active,2025-12-08,2026-03-23
TRV,ihs,pending,pending,,316.8806704807572,318.46507383316094,310.5430570711421,366.7336745991225,15.73,16,50.5,active,2025-12-08,2026-03-23
MDLZ,ihs,pending,pending,,66.2484767603351,66.57971914413676,64.92350722512839,81.73643602340897,23.38,14,49.3,active,2025-12-08,2026-03-09
TJX,ihs,pending,pending,,163.70790147529084,164.52644098266728,160.433743445785,182.47167331392097,11.46,12,48.1,active,2025-12-29,2026-03-16
VLO,triangle_sym,type1,none,2026-06-01,257.20796301138125,258.49400282643813,252.0638037511536,321.0514016506663,33.02,20,42.4,active,2025-11-17,2026-03-30
