BOOT
CAKE
CALX
CHDN
CIVI
CLFD
ENVA
HAYW
HIMS
INMD
ITRI
JBLU
KRYS
LGIH
MGNI
NARI
NCNO
NTNX
OMCL
OPCH
PLXS
POWI
POWL
PRGO
PZZA
QTWO
RDNT
RPRX
RXRX
SAGE
SHAK
SKX
SKYW
SLGN
SMPL
STAG
STEP
STRL
SUPN
TILE
TREX
TXRH
UFPI
UNFI
APPF
ARKO
ARWR
ATKR
ATI
AVAV
AVNS
BCPC
BL
BRC
CABO
CCOI
CENTA
CENX
CHH
COHU
COOP
CSGS
CWT
GBCI
GTLS
HALO
IOSP
KELYA
KMPR
LCID
LAZR
IONQ
JOBY
ACHR
AEHR
AZTA
BMBL
BPMC
BW
CAMT
CBRL
CCBG
CFFN
CGNT
CHCO
CIFR
CIGI
CLAR
CLBT
CLDX
CLFD
CLNE
CLPS
CNET
COHU
CONN
COOP
CORT
CRGY
CRS
CTRE
CUBE
CUTR
