AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
COST
NFLX
AMD
ADBE
CSCO
INTC
QCOM
INTU
AMGN
AMAT
ISRG
BKNG
TXN
MU
LRCX
MELI
SNPS
CDNS
PYPL
REGN
ADI
MDLZ
KLAC
GILD
NXPI
PANW
VRTX
FTNT
ABNB
MRVL
ADP
SBUX
ORLY
TEAM
CHTR
FAST
CTAS
MNST
PCAR
PAYX
ROP
CPRT
CSX
EXC
IDXX
MCHP
ODFL
CTSH
DXCM
BIIB
HON
KDP
NDAQ
ON
VRSK
WDAY
TTD
DDOG
NET
SNOW
CRWD
PLTR
COIN
UBER
DASH
RBLX
SPOT
ZS
OKTA
DOCU
BILL
HUBS
VEEV
WBD
XEL
GEHC
ILMN
EA
LULU
ROST
DLTR
BMRN
SGEN
GFS
SMCI
APP
MSTR
AXON
ARM
SMCI
