A
AAL
AAPL
ABBV
ABEV
ABNB
ABT
ACAD
ACN
ADBE
ADI
ADM
ADP
ADSK
AEL
AEM
AEO
AEP
AERI
AESE
AEYO
AFL
AFRY
AGFD
AGFS
AGRO
AHAC
AHET
AHL
AHPI
AIG
AIRT
AJG
AJU
AKAM
AKYA
ALAO
ALBA
ALEC
ALEI
ALFO
ALGN
ALGS
ALGZ
ALKS
ALL
ALLT
ALLZ
ALMD
ALNI
ALNM
ALNY
ALOP
ALPO
ALRM
ALSY
ALTG
ALTI
ALTO
ALTR
ALTV
ALYI
AMAO
AMAT
AMBC
AMBX
AMCR
AMD
AME
AMFY
AMGN
AMINO
AMIT
AMMD
AMMX
AMOT
AMPC
AMPH
AMPL
AMRK
AMRN
AMRS
AMRT
AMT
AMUS
AMX
AMYZ
AMZN
ANAB
ANDE
ANDV
ANET
ANEV
ANEY
ANGH
ANIE
ANKA
ANKS
ANLI
ANMU
ANNA
ANPC
ANPX
ANRO
ANRY
ANST
ANTA
ANTE
ANTU
ANTX
ANVY
ANVZ
ANWZ
AOLA
AON
APAC
APCX
APD
APH
APO
APP
ARM
ASML
ASX
AU
AVGO
AXP
AYX
AZN
AZO
B
BA
BABA
BAC
BAM
BBVA
BBY
BCS
BDX
BE
BHP
BIDU
BIIB
BILL
BK
BKNG
BKR
BLK
BMO
BMRN
BMY
BN
BNS
BNTX
BOX
BP
BPMC
BRK.A
BRK.B
BRKB
BSX
BTI
BUD
BURL
BX
BYD
C
CAH
CARR
CAT
CB
CBOE
CCEP
CCJ
CCL
CDNA
CDNS
CDW
CEG
CERN
CFLT
CHKP
CHTR
CHWY
CI
CIEN
CL
CM
CMG
CMI
CMTL
CNI
CNQ
COF
COHR
COIN
COP
COR
CORT
COST
CP
CPNG
CPRT
CRH
CRM
CRNC
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
CTVA
CVE
CVNA
CVS
CVX
CZR
D
DADA
DAL
DASH
DB
DBX
DD
DDOG
DE
DECK
DELL
DEO
DHR
DIS
DKNG
DLR
DOCU
DUK
DXCM
E
ECL
EDU
ELV
EMR
ENB
ENTG
EOG
EPD
EQNR
ERI
ESTC
ET
ETN
ETR
EW
EXAS
EXC
EXEL
EXPE
F
FANG
FAST
FCX
FDX
FERG
FIVE
FIX
FLUT
FNV
FOX
FOXA
FROG
FSLR
FTNT
FUTU
GD
GE
GEHC
GEN
GEV
GFI
GFS
GILD
GLOB
GLW
GM
GOOG
GOOGL
GRMN
GS
GSK
GWW
HAS
HCA
HD
HDB
HEI
HLN
HLT
HON
HSBC
HSY
HUBS
HUM
HWM
IBM
IBN
ICE
IDXX
ILMN
IMRX
INCY
INFY
ING
INTC
INTU
IOT
IQ
IRON
IRWD
ISRG
ITUB
ITW
JCI
JD
JMIA
JNJ
JPM
KDP
KEYS
KHC
KKR
KLAC
KMI
KO
KR
LGND
LHX
LIN
LITE
LLY
LMT
LNG
LOW
LRCX
LULU
LVS
LYFT
LYG
LYV
MA
MAR
MCD
MCHP
MCK
MCO
MDB
MDLZ
MDT
MELI
MERC
MET
META
MFC
MFG
MKSI
MMC
MMM
MNST
MO
MPC
MPLX
MRK
MRSH
MRVL
MS
MSFT
MSGE
MSGS
MSI
MSTR
MT
MTCH
MU
MUFG
NCLH
NDAQ
NEE
NEM
NET
NFLX
NGG
NKE
NKLA
NOC
NOK
NOW
NSC
NTAP
NU
NVAX
NVDA
NVO
NVS
NWG
NWS
NWSA
NXPI
O
ODFL
OKE
OKTA
ON
ORCL
ORLY
OXY
PANW
PAYX
PBR
PBR.A
PCAR
PDD
PENN
PEP
PETS
PFE
PG
PGR
PH
PINS
PLD
PLTR
PM
PNC
POOL
PSA
PSTV
PSX
PTC
PTON
PWR
PYPL
QCOM
RACE
RBLX
RCL
REGN
RELX
RIO
RKT
RNG
ROKU
ROP
ROST
RSG
RTX
RY
SAN
SAP
SATS
SBUX
SCCO
SCHW
SE
SGEN
SHEL
SHOP
SHW
SLB
SMCI
SMFG
SNA
SNAP
SNOW
SNPS
SO
SOFI
SOMN
SONY
SPG
SPGI
SPLK
SPOT
SQ
SRE
SSNC
STX
SU
SWAV
SWKS
SYK
SYY
T
TAK
TAL
TCOM
TD
TDG
TEAM
TECH
TEL
TER
TERM
TFC
TGT
TJX
TM
TMO
TMUS
TNDM
TOST
TRGP
TROW
TRP
TRV
TSCO
TSLA
TSM
TT
TTD
TTE
TTWO
TWLO
TXG
TXN
U
UAL
UBER
UBS
UI
UL
ULTA
UNH
UNP
UPS
UPST
URI
USB
UTHR
V
VALE
VEEV
VEON
VIPS
VLO
VNDA
VRSK
VRSN
VRT
VRTX
VST
VZ
WBD
WDAY
WDC
WELL
WFC
WIX
WM
WMB
WMT
WOLF
WPM
WST
WYNN
XEL
XOM
YELP
YEXT
YUM
ZM
ZNGA
ZS
ZTS

AKTUELL
