SAP.DE
SIE.DE
ALV.DE
DTE.DE
MUV2.DE
DB1.DE
BAS.DE
BAYN.DE
MBG.DE
BMW.DE
VOW3.DE
ADS.DE
EOAN.DE
RWE.DE
HEN3.DE
FRE.DE
SHL.DE
HEI.DE
DHL.DE
IFX.DE
SRT.DE
VNA.DE
ZAL.DE
ENR.DE
BOSS.DE
CON.DE
MRK.DE
PUM.DE
EVT.DE
BEI.DE
PAH3.DE
LEG.DE
TKA.DE
RHM.DE
MTX.DE
QIA.DE
FME.DE
DWS.DE
WCH.DE
HAG.DE
DHER.DE
1COV.DE
FNTN.DE
SDF.DE
AIXA.DE
SHEL.L
BP.L
HSBA.L
AZN.L
ULVR.L
RIO.L
GSK.L
LSEG.L
BATS.L
RKT.L
DGE.L
PRU.L
GLEN.L
NG.L
VOD.L
LLOY.L
BARC.L
IMB.L
NXT.L
REL.L
RTO.L
SSE.L
EXPN.L
STAN.L
HLN.L
RR.L
SN.L
TSCO.L
MKS.L
SGRO.L
AHT.L
HLMA.L
AV.L
LGEN.L
CPG.L
ABF.L
CNA.L
INF.L
III.L
BT-A.L
JD.L
AUTO.L
WPP.L
IAG.L
OCDO.L
EMG.L
MNDI.L
MNG.L
PSN.L
WTB.L
PSON.L
SDR.L
CRH.L
SKG.L
FRES.L
CRDA.L
BLND.L
SBRY.L
MC.PA
OR.PA
TTE.PA
SAN.PA
BNP.PA
AIR.PA
KER.PA
RI.PA
DG.PA
ACA.PA
SU.PA
AI.PA
DSY.PA
CS.PA
HO.PA
CAP.PA
GLE.PA
VIE.PA
LR.PA
PUB.PA
ML.PA
RMS.PA
BN.PA
AC.PA
SGO.PA
ALO.PA
VIV.PA
ENX.PA
EL.PA
ERF.PA
CA.PA
EDEN.PA
SW.PA
ATO.PA
RCO.PA
NESN.SW
ROG.SW
NOVN.SW
ABB.SW
LONN.SW
SREN.SW
ZURN.SW
UHR.SW
GEBN.SW
GIVN.SW
AMS.SW
LOGN.SW
SLHN.SW
BALN.SW
PGHN.SW
KNIN.SW
SCMN.SW
CFR.SW
VACN.SW
HOLN.SW
ASML.AS
HEIA.AS
INGA.AS
PHIA.AS
REN.AS
WKL.AS
NN.AS
ADYEN.AS
BESI.AS
KPN.AS
RAND.AS
ABN.AS
AKZA.AS
IMCD.AS
UNA.AS
LIGHT.AS
OCI.AS
HAG.AS
SBMO.AS
TKWY.AS
MT.AS
VOLV-B.ST
ERIC-B.ST
SWED-A.ST
SEB-A.ST
INVE-B.ST
ATCO-A.ST
ATCO-B.ST
SKF-B.ST
HM-B.ST
SAND.ST
SHB-A.ST
NIBE-B.ST
SSAB-A.ST
BOL.ST
EVO.ST
ASSA-B.ST
HEXA-B.ST
ALFA.ST
SINCH.ST
HUSQ-B.ST
TELIA.ST
AAK.ST
KINV-B.ST
SECU-B.ST
ITX.MC
SAN.MC
IBE.MC
BBVA.MC
TEF.MC
REP.MC
FER.MC
AMS.MC
CLNX.MC
ACS.MC
ELE.MC
ANA.MC
NTGY.MC
AENA.MC
CABK.MC
SAB.MC
ACX.MC
ISP.MI
ENI.MI
G.MI
UCG.MI
ENEL.MI
STM.MI
MB.MI
RACE.MI
LDO.MI
PRY.MI
STLA.MI
MONC.MI
PST.MI
AMP.MI
BZU.MI
BMED.MI
TIT.MI
A2A.MI
NOVO-B.CO
ORSTED.CO
MAERSK-B.CO
DEMANT.CO
COLO-B.CO
GN.CO
CARL-B.CO
RBREW.CO
ISS.CO
CHR.CO
PNDORA.CO
VWS.CO
FLS.CO
SYDB.CO
DSV.CO
NOKIA.HE
FORTUM.HE
NESTE.HE
STERV.HE
KNEBV.HE
METSO.HE
UPM.HE
WRT1V.HE
ORNBV.HE
SAMPO.HE
TIE1V.HE
EQNR.OL
DNB.OL
MOWI.OL
TEL.OL
NHY.OL
SCATC.OL
STO.OL
AKRBP.OL
ORK.OL
YARA.OL
UCB.BR
ABI.BR
SOLB.BR
ACKB.BR
GBL.BR
KBC.BR
ARGX.BR
AGS.BR
WDP.BR
BARCO.BR
COLR.BR
OMV.VI
EBS.VI
VER.VI
RBI.VI
EDP.LS
GALP.LS
JMT.LS
OPAP.AT
ETE.AT
