AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
JPM
LLY
V
MA
JNJ
XOM
UNH
HD
PG
COST
ABBV
MRK
CVX
BAC
WMT
CRM
ACN
LIN
MCD
TMO
ORCL
GE
NOW
IBM
GS
AXP
BLK
MS
C
WFC
PNC
ELV
CI
CVS
MDT
SYK
BSX
ABT
ISRG
DHR
BDX
ZTS
REGN
AMGN
DE
CAT
MMM
BA
RTX
LMT
NOC
GD
SPG
AMT
PLD
DLR
PSA
CMG
DIS
CMCSA
T
VZ
TMUS
SO
DUK
NEE
EXC
D
OXY
SLB
COP
EOG
MPC
PSX
VLO
FCX
NEM
ECL
SHW
ETN
EMR
PH
ITW
GWW
TGT
LOW
NKE
TJX
ULTA
EL
CL
KMB
PM
MO
KO
PEP
MDLZ
SYY
CAH
MCK
HUM
HCA
MOH
CNC
EW
HON
MMC
AON
SPGI
MCO
ICE
COF
USB
TFC
KEY
RF
CFG
HBAN
MTB
FITB
WRB
MET
PRU
AFL
ALL
CB
TRV
PGR
AIG
HIG
CME
NDAQ
CBOE
BK
STT
SCHW
ETSY
EBAY
AMZN
PYPL
SQ
BKNG
ABNB
MAR
HLT
H
MGM
LVS
WYNN
CZR
DAL
UAL
AAL
LUV
CCL
RCL
NCLH
